date,Andrew Garfield,Casey Afflect,Denzel Washington,Dev Patel,Emma Stone,Isabelle Huppert,Jeff Bridges,Jimmy Kimmel,Mahershala Ali,Meryl Streep,Michael Shannon,Michelle Williams,Naomie Harris,Natalie Portman,Nicole Kidman,Octavia Spencer,Ruth Negga,Ryan Gosling,Viggo Mortensen,Viola Davis
0:34,146,76,0,238,394,59,0,59,129,48,0,77,0,0,107,51,61,0,91,167
0:39,113,84,0,181,1005,0,0,192,97,42,0,50,0,0,126,51,52,0,121,537
0:44,119,0,0,202,794,0,0,104,80,48,0,0,0,0,223,63,57,0,55,706
0:49,115,50,0,163,910,54,0,179,70,0,0,0,0,0,162,73,51,59,40,908
0:54,137,0,0,221,681,0,0,144,88,41,0,0,0,0,148,0,69,343,0,667
0:58,80,284,0,167,517,0,0,72,95,85,0,0,0,0,144,0,64,735,0,399
1:03,89,112,0,196,465,0,0,44,50,107,0,39,0,0,151,0,60,460,0,308
1:08,91,74,0,154,398,0,0,46,0,93,0,0,41,0,182,0,0,289,0,302
1:13,87,48,120,131,322,0,0,41,54,163,0,0,0,0,110,0,51,229,0,276
1:18,96,44,186,101,296,0,0,0,51,236,0,0,70,0,75,48,56,232,0,260
1:23,92,47,190,111,262,0,0,0,47,241,0,64,79,0,61,0,0,204,0,274
1:27,85,41,141,98,444,0,0,54,44,262,0,0,0,0,0,0,47,168,0,256
1:32,64,47,95,88,356,42,0,42,37,176,0,0,0,0,49,0,0,167,0,227
1:37,51,44,90,77,132,43,0,199,0,94,50,0,0,0,68,0,0,151,0,109
1:42,46,53,88,76,166,40,0,930,0,61,0,0,0,0,0,0,0,87,0,116
1:47,67,47,129,91,102,54,0,965,81,1571,0,0,0,0,0,0,0,72,71,109
1:51,0,0,91,435,74,0,140,494,2650,659,66,0,0,0,0,0,0,37,0,64
1:56,47,42,49,190,94,0,47,356,3184,384,0,0,0,0,0,0,0,0,0,107
2:01,0,0,63,53,83,0,39,297,1558,203,0,0,0,0,0,0,0,0,0,76
2:06,44,0,53,53,53,0,0,146,720,179,0,0,0,0,0,0,0,0,0,106
2:11,56,0,45,44,68,0,0,209,653,280,0,0,0,0,0,80,0,0,0,110
2:15,0,0,0,49,57,0,0,200,487,171,0,0,0,0,45,72,0,0,0,52
2:20,0,0,0,0,69,0,0,125,371,118,0,0,0,0,0,0,0,61,0,49
2:25,0,0,59,0,90,0,0,181,399,205,0,0,0,0,0,0,0,87,0,89
2:30,51,0,66,62,75,0,0,241,281,163,0,0,0,0,0,0,0,56,0,83
2:35,63,0,62,57,42,0,0,125,379,125,0,0,0,0,0,0,0,56,0,112
2:39,0,0,61,0,84,0,0,146,379,148,0,0,0,0,0,0,0,81,0,228
2:44,0,0,50,0,82,0,0,99,278,91,0,90,97,0,92,148,0,71,0,1874
2:49,0,0,97,0,55,0,0,48,172,78,0,50,0,0,36,0,0,0,0,6137
2:54,0,0,153,0,89,0,0,65,213,117,0,0,0,0,0,0,0,0,0,4195
2:59,0,0,118,0,61,0,0,131,198,90,0,0,0,0,92,0,0,48,0,2744
3:03,0,0,41,224,43,0,0,76,205,83,0,0,0,0,181,0,0,44,0,1491
3:08,0,0,59,59,52,0,0,86,221,108,0,0,0,0,240,0,0,45,0,1319
3:13,0,0,0,47,46,0,0,84,159,62,0,0,0,0,144,0,0,59,0,807
3:18,0,0,0,0,62,0,0,82,109,41,0,0,0,0,81,0,0,0,0,550
3:23,0,0,254,0,57,0,0,317,159,141,0,0,0,0,100,0,0,286,0,382
3:28,56,0,530,86,105,0,0,428,192,214,0,0,0,0,130,0,0,312,0,425
3:32,54,0,263,97,97,0,0,362,193,132,0,0,0,0,65,0,0,203,0,496
3:37,73,0,130,72,80,0,0,198,121,59,0,0,0,0,80,0,0,121,0,391
3:42,66,0,84,58,57,0,0,309,108,62,0,0,0,0,0,0,0,76,0,334
3:47,54,0,82,74,57,0,0,335,143,91,0,0,0,0,0,0,0,110,0,373
3:52,64,0,65,57,0,0,0,450,130,91,0,0,0,0,0,0,0,84,0,359
3:56,100,0,53,69,79,0,0,755,161,163,0,0,0,0,48,0,0,87,0,349
4:01,62,0,44,54,70,0,0,447,147,616,0,0,0,0,63,0,0,82,0,299
4:06,0,47,49,0,333,0,0,363,107,174,0,0,0,0,47,0,0,361,0,294
4:11,0,53,49,48,466,0,0,291,115,136,0,0,0,0,0,0,0,496,0,269
4:16,0,53,49,48,466,0,0,359,115,136,0,0,0,100,0,0,0,496,0,26
4:20,0,0,52,94,208,0,0,184,110,119,0,0,0,45,48,0,0,234,0,278
4:25,0,0,0,65,95,0,0,165,81,57,0,0,0,0,0,0,0,132,0,173
4:30,0,0,0,54,74,0,0,261,80,85,0,0,0,0,0,0,0,132,0,172
4:35,0,96,0,0,73,0,0,471,78,51,0,0,0,0,0,0,0,86,0,145
4:40,0,158,0,0,153,0,0,552,84,72,0,0,0,75,0,55,0,85,0,136
4:44,0,55,43,0,156,0,0,281,94,0,0,0,0,0,42,71,0,99,0,152
4:49,154,332,208,41,141,0,0,272,71,41,0,0,0,0,0,44,0,234,0,144
4:54,206,2696,843,0,180,0,0,122,48,40,0,0,0,0,0,0,0,405,181,109
4:59,67,1899,707,0,2182,145,0,118,44,181,0,0,0,148,0,0,101,208,49,120
5:04,109,940,496,0,3750,174,0,96,40,207,0,0,0,86,0,0,61,308,0,127
5:08,90,807,659,0,2242,101,0,117,44,136,0,0,0,0,0,0,45,356,0,161
5:13,0,274,183,0,513,0,0,57,33,30,0,0,0,0,0,0,0,100,0,56
5:18,0,75,62,0,161,0,0,89,0,0,0,0,0,0,0,0,0,33,0,41
5:23,0,123,55,0,275,0,0,131,0,0,0,0,0,0,0,0,0,45,0,48
5:28,0,111,60,0,271,0,0,108,44,0,0,0,0,0,0,0,0,55,0,52
5:33,0,170,88,0,316,0,0,140,51,0,0,0,0,0,0,0,0,83,0,78
5:38,0,189,97,0,338,0,0,140,63,0,0,0,0,0,0,0,0,70,0,81
5:42,0,192,73,0,434,0,0,178,66,0,0,0,0,0,0,0,0,84,0,76
5:48,0,190,102,0,453,0,0,146,48,0,0,0,0,0,0,0,0,95,0,86
5:52,0,176,89,0,574,0,0,135,54,0,0,0,0,0,0,0,0,171,0,107
5:57,0,205,96,0,694,0,0,138,64,0,0,0,0,0,0,0,0,149,0,118